mode,orifice,Pressure,rpm,suction
1,30,127.4,585,1.07
1,23,118.3,585,2.98
1,19,111.2,590,5.2
1,16,100.1,595,8.02
1,13,83.9,610,11.77
1,10,63.7,650,13.85
2,30,191.1,760,2.62
2,23,182.0,770,7.33
2,19,172.9,775,13.25
2,16,154.7,780,20.14
2,13,127.4,810,29.06
2,10,96.5,865,33.52
3,30,381.3,1205,12.16
3,23,365.0,1215,32.18
3,19,341.3,1225,57.16
3,16,308.5,1245,85.41
3,13,253.9,1295,117.51
1,30,145.6,590,1.08
1,23,136.5,590,2.89
1,19,127.4,595,5.21
1,16,118.3,600,8.13
1,13,100.1,620,11.88
1,10,72.8,655,14.17
2,30,218.4,765,2.63
2,23,209.3,770,7.22
2,19,192.0,775,13.16
2,16,173.8,790,20.2
2,13,145.6,810,28.85
2,10,109.2,865,33.54
3,30,426.8,1210,11.79
3,23,409.5,1220,31.74
3,19,383.2,1230,56.71
3,16,345.8,1250,85.05
3,13,287.6,1300,117.2
1,30,154.7,595,0.98
1,23,153.7,590,2.8
1,19,145.6,590,5.04
1,16,128.4,600,7.89
1,13,109.2,615,11.68
1,10,81.9,650,13.86
2,30,238.4,765,2.63
2,23,227.5,765,7.23
2,19,215.7,775,13.18
2,16,192.9,785,20.11
2,13,163.8,810,28.89
2,10,118.3,860,33.3
3,30,472.3,1210,11.81
3,23,453.2,1215,31.57
3,19,427.8,1230,56.59
3,16,385.0,1245,84.79
3,13,321.3,1295,116.74
1,30,182.0,590,1.08
1,23,172.9,595,2.9
1,19,163.8,595,5.13
1,16,145.6,600,7.89
1,13,126.4,615,11.69
1,10,91.0,655,13.98
2,30,267.6,765,2.62
2,23,255.7,775,7.37
2,19,244.8,775,13.32
2,16,218.4,785,20.24
2,13,182.0,810,29.01
2,10,136.5,865,33.47
3,30,528.8,1215,12.04
3,23,508.8,1220,31.59
3,19,476.0,1230,56.63
3,16,433.2,1250,84.67
3,13,356.8,1295,116.68
1,30,209.3,585,0.98
1,23,191.1,590,2.9
1,19,182.0,595,5.04
1,16,164.8,600,7.9
1,13,139.5,615,11.77
1,10,109.2,655,13.88
2,30,300.3,765,2.64
2,23,291.2,775,7.24
2,19,273.0,780,13.08
2,16,245.7,785,20.15
2,13,208.4,815,28.85
2,10,154.7,870,33.51
3,30,591.6,1210,12.06
3,23,565.2,1215,31.63
3,19,532.4,1230,56.49
3,16,480.5,1255,84.4
3,13,401.4,1295,116.35
1,30,238.7,590,1.08
1,23,227.5,590,2.8
1,19,218.4,595,4.86
1,16,200.2,600,7.56
1,13,166.9,610,11.25
1,10,127.4,650,13.43
2,30,364.0,765,2.64
2,23,354.0,765,7.1
2,19,336.7,775,12.82
2,16,296.7,785,19.43
2,13,245.7,805,27.93
2,10,182.0,865,32.53
3,30,701.8,1210,11.82
3,23,674.5,1215,30.94
3,19,633.0,1230,55.22
3,16,572.4,1250,83.21
3,13,479.3,1300,115.01
1,30,272.0,595,1.08
1,23,254.8,590,2.81
