set,mode,pressure,rpm,orifice,suction,level5,level3,,,,
1,1,127.4151648,585.5,30,1.07,1,1,,,,
,1,118.3140816,586,23,2.98,1,1,,,,
,1,111.2354613,589.5,19,5.2,1,1,,,,
,1,100.1119152,595.5,16,8.02,1,1,,,,
,1,83.93221173,613,13,11.77,1,1,,,,
,1,63.7075824,648,10,13.85,1,1,,,,
,2,191.1227472,762,30,2.62,1,1,,,,
,2,182.021664,766,23,7.33,1,1,,,,
,2,172.9205808,771.5,19,13.25,1,1,,,,
,2,154.7184144,782.5,16,20.14,1,1,,,,
,2,127.4151648,809,13,29.06,1,1,,,,
,2,96.47148192,863.5,10,33.52,1,1,,,,
,3,381.3353861,1208.5,30,12.16,1,1,,,,
,3,364.9534363,1214.5,23,32.18,1,1,,,,
,3,341.29062,1225,19,57.16,1,1,,,,
,3,308.5267205,1246,16,85.41,1,1,,,,
,3,253.9202213,1294.5,13,117.51,1,1,,,,
,3,0,0,10,0,1,1,,,,
2,1,145.6173312,591,30,1.08,1,1,,,,
,1,136.516248,590,23,2.89,1,1,,,,
,1,127.4151648,595.5,19,5.21,1,1,,,,
,1,118.3140816,601,16,8.13,1,1,,,,
,1,100.1119152,617.5,13,11.88,1,1,,,,
,1,72.8086656,654.5,10,14.17,1,1,,,,
,2,218.4259968,764.5,30,2.63,1,1,,,,
,2,209.3249136,768.5,23,7.22,1,1,,,,
,2,192.0328555,774.5,19,13.16,1,1,,,,
,2,173.8306891,786,16,20.2,1,1,,,,
,2,145.6173312,810,13,28.85,1,1,,,,
,2,109.2129984,865,10,33.54,1,1,,,,
,3,426.8408021,1210.5,30,11.79,1,1,,,,
,3,409.548744,1217,23,31.74,1,1,,,,
,3,383.1556027,1227.5,19,56.71,1,1,,,,
,3,345.8411616,1248,16,85.05,1,1,,,,
,3,287.5942291,1296.5,13,117.2,1,1,,,,
,3,0,0,10,0,1,1,,,,
3,1,154.7184144,591.5,30,0.98,1,1,,,,
,1,153.7071829,590,23,2.8,1,1,,,,
,1,145.6173312,591.5,19,5.04,1,1,,,,
,1,128.4263963,599,16,7.89,1,1,,,,
,1,109.2129984,614.5,13,11.68,1,1,,,,
