set,mode,pressure,rpm,orifice,suction,level5,level3,,,,0,,0
1,1,127.4151648,585.5,30,1.07,1,1,,0.029383778,127.4151648,2.10522112,7.160272562,585.5
,1,118.3140816,586,23,2.98,1,1,,0.474216264,118.3140816,2.073036437,6.499993757,586
,1,111.2354613,589.5,19,5.2,1,1,,0.716003344,111.2354613,2.04624326,6.025038416,589.5
,1,100.1119152,595.5,16,8.02,1,1,,0.904174368,100.1119152,2.00048577,5.546524284,595.5
,1,83.93221173,613,13,11.77,1,1,,1.070776463,83.93221173,1.923928668,4.9347796,613
,1,63.7075824,648,10,13.85,1,1,,1.141449773,63.7075824,1.804191125,4.154303588,648
,2,191.1227472,762,30,2.62,1,1,,0.418301291,191.1227472,2.281312379,7.759193691,762
,2,182.021664,766,23,7.33,1,1,,0.865103975,182.021664,2.26012308,7.086602845,766
,2,172.9205808,771.5,19,13.25,1,1,,1.122215878,172.9205808,2.237846686,6.58920301,771.5
,2,154.7184144,782.5,16,20.14,1,1,,1.304059466,154.7184144,2.189542006,6.070699473,782.5
,2,127.4151648,809,13,29.06,1,1,,1.46329561,127.4151648,2.10522112,5.39978556,809
,2,96.47148192,863.5,10,33.52,1,1,,1.52530401,96.47148192,1.98439895,4.569247441,863.5
,3,381.3353861,1208.5,30,12.16,1,1,,1.084933575,381.3353861,2.581307108,8.779534976,1208.5
,3,364.9534363,1214.5,23,32.18,1,1,,1.50758604,364.9534363,2.562237457,8.033880727,1214.5
,3,341.29062,1225,19,57.16,1,1,,1.75709222,341.29062,2.533124352,7.458630082,1225
,3,308.5267205,1246,16,85.41,1,1,,1.931508722,308.5267205,2.489292783,6.901785096,1246
,3,253.9202213,1294.5,13,117.51,1,1,,2.070074826,253.9202213,2.404697288,6.167926764,1294.5
,3,0,0,10,0,1,1,,#NUM!,0,#NUM!,#NUM!,0
2,1,145.6173312,591,30,1.08,1,1,,0.033423755,145.6173312,2.163213067,7.35751462,591
,1,136.516248,590,23,2.89,1,1,,0.460897843,136.516248,2.135184344,6.694858159,590
,1,127.4151648,595.5,19,5.21,1,1,,0.716837723,127.4151648,2.10522112,6.198695126,595.5
,1,118.3140816,601,16,8.13,1,1,,0.910090546,118.3140816,2.073036437,5.747677446,601
,1,100.1119152,617.5,13,11.88,1,1,,1.074816441,100.1119152,2.00048577,5.13114469,617.5
