set,mode,pressure,rpm,orifice,suction,level5,level3,,,,,
1,1,127.4151648,585.5,30,1.07,1,1,,0.029383778,,#VALUE!,#VALUE!
,1,118.3140816,586,23,2.98,1,1,,0.474216264,,2.10522112,6.600908646
,1,111.2354613,589.5,19,5.2,1,1,,0.716003344,,2.073036437,6.10392929
,1,100.1119152,595.5,16,8.02,1,1,,0.904174368,,2.04624326,5.673390986
,1,83.93221173,613,13,11.77,1,1,,1.070776463,,2.00048577,5.13114469
,1,63.7075824,648,10,13.85,1,1,,1.141449773,,1.923928668,4.43000947
,2,191.1227472,762,30,2.62,1,1,,0.418301291,,1.804191125,6.136410129
,2,182.021664,766,23,7.33,1,1,,0.865103975,,2.281312379,7.15304177
,2,172.9205808,771.5,19,13.25,1,1,,1.122215878,,2.26012308,6.654794495
,2,154.7184144,782.5,16,20.14,1,1,,1.304059466,,2.237846686,6.204628482
,2,127.4151648,809,13,29.06,1,1,,1.46329561,,2.189542006,5.616064361
,2,96.47148192,863.5,10,33.52,1,1,,1.52530401,,2.10522112,4.847450769
,3,381.3353861,1208.5,30,12.16,1,1,,1.084933575,,1.98439895,6.749332512
,3,364.9534363,1214.5,23,32.18,1,1,,1.50758604,,2.581307108,8.093673505
,3,341.29062,1225,19,57.16,1,1,,1.75709222,,2.562237457,7.544351843
,3,308.5267205,1246,16,85.41,1,1,,1.931508722,,2.533124352,7.023312011
,3,253.9202213,1294.5,13,117.51,1,1,,2.070074826,,2.489292783,6.384909924
2,1,145.6173312,591,30,1.08,1,1,,0.033423755,,2.404697288,8.178850119
,1,136.516248,590,23,2.89,1,1,,0.460897843,,2.163213067,6.78274206
,1,127.4151648,595.5,19,5.21,1,1,,0.716837723,,2.135184344,6.286920009
,1,118.3140816,601,16,8.13,1,1,,0.910090546,,2.10522112,5.836912336
,1,100.1119152,617.5,13,11.88,1,1,,1.074816441,,2.073036437,5.317233477
,1,72.8086656,654.5,10,14.17,1,1,,1.15136985,,2.00048577,4.606288712
,2,218.4259968,764.5,30,2.63,1,1,,0.419955748,,1.862183072,6.333652187
,2,209.3249136,768.5,23,7.22,1,1,,0.858537198,,2.339304326,7.334875184
,2,192.0328555,774.5,19,13.16,1,1,,1.119255889,,2.320820921,6.833515582
,2,173.8306891,786,16,20.2,1,1,,1.305351369,,2.28337554,6.33086127
,2,145.6173312,810,13,28.85,1,1,,1.460145817,,2.240126452,5.745810903
,2,109.2129984,865,10,33.54,1,1,,1.525563058,,2.163213067,4.980982162
,3,426.8408021,1210.5,30,11.79,1,1,,1.071513805,,2.038274331,6.932573317
,3,409.548744,1217,23,31.74,1,1,,1.501606922,,2.630265927,8.247183602
,3,383.1556027,1227.5,19,56.71,1,1,,1.753659647,,2.612305598,7.691774429
,3,345.8411616,1248,16,85.05,1,1,,1.929674318,,2.58337518,7.162636891
,3,287.5942291,1296.5,13,117.2,1,1,,2.068927612,,2.538876681,6.512090112
3,1,154.7184144,591.5,30,0.98,1,1,,-0.008773924,,2.458780167,8.362796667
,1,153.7071829,590,23,2.8,1,1,,0.447158031,,2.189542006,6.865296295
,1,145.6173312,591.5,19,5.04,1,1,,0.702430536,,2.186694163,6.438587529
,1,128.4263963,599,16,7.89,1,1,,0.897077003,,2.163213067,5.997700154
,1,109.2129984,614.5,13,11.68,1,1,,1.067442843,,2.108654296,5.408591482
,1,81.9097488,652,10,13.86,1,1,,1.14176323,,2.038274331,4.693300089
,2,238.4483798,767,30,2.63,1,1,,0.419955748,,1.913335594,6.507632013
,2,227.52708,768,23,7.23,1,1,,0.859138297,,2.377394376,7.454306314
,2,215.6956718,774,19,13.18,1,1,,1.11991541,,2.357033093,6.940140115
,2,192.9429638,785.5,16,20.11,1,1,,1.303412071,,2.333841431,6.47078243
,2,163.8194976,811,13,28.89,1,1,,1.460747542,,2.285428945,5.862009505
,2,118.3140816,863.5,10,33.3,1,1,,1.522444234,,2.21436559,5.098765197
,3,472.3462181,1211,30,11.81,1,1,,1.072249898,,2.073036437,7.050806101
,3,453.2339434,1217,23,31.57,1,1,,1.499274582,,2.674260442,8.385128149
,3,427.7509104,1227.5,19,56.59,1,1,,1.752739694,,2.656322427,7.821379296
,3,384.9758194,1248,16,84.79,1,1,,1.928344635,,2.631190943,7.295210333
,3,321.268237,1296.5,13,116.74,1,1,,2.067219689,,2.585433452,6.631505872
4,1,182.021664,591,30,1.08,1,1,,0.033423755,,2.50686779,8.526352164
,1,172.9205808,593,23,2.9,1,1,,0.462397998,,2.26012308,7.086602845
,1,163.8194976,596,19,5.13,1,1,,0.710117365,,2.237846686,6.58920301
,1,145.6173312,601,16,7.89,1,1,,0.897077003,,2.21436559,6.139525061
,1,126.4039333,617.5,13,11.69,1,1,,1.067814511,,2.163213067,5.548531967
,1,91.010832,654,10,13.98,1,1,,1.145507171,,2.101760588,4.839482599
,2,267.5718461,767.5,30,2.62,1,1,,0.418301291,,1.959093085,6.66326227
,2,255.7404379,771,23,7.37,1,1,,0.867467488,,2.427440415,7.611225381
,2,244.8191381,776,19,13.32,1,1,,1.124504225,,2.407799404,7.089618421
,2,218.4259968,787,16,20.24,1,1,,1.306210508,,2.388845365,6.623285717
,2,182.021664,812,13,29.01,1,1,,1.462547729,,2.339304326,6.000197129
,2,136.516248,866,10,33.47,1,1,,1.524655712,,2.26012308,5.204125713
,3,528.7729339,1212,30,12.04,1,1,,1.080626487,,2.135184344,7.262183399
,3,508.7505509,1218,23,31.59,1,1,,1.499549626,,2.723269217,8.538794878
